experiment_id,name,status,config_path,raw_output_path,processed_output_path,notes
E0,smoke_end_to_end,reproducible_scaffold_run,article3/experiments/configs/e0_smoke.yaml,article3/experiments/raw/E0_smoke.json,article3/experiments/processed/E0_smoke_summary.json,Local scaffold smoke covering Go tests and core article3 artifact presence
E1,budget_delay,reproducible_scaffold_run,article3/experiments/configs/e1_budget_delay.yaml,article3/experiments/raw/,article3/experiments/processed/,Deterministic raw outputs regenerated and now covered by the orchestrator and artifact validation
E2,multitenant_tradeoffs,reproducible_scaffold_run,article3/experiments/configs/e2_multitenant.yaml,article3/experiments/raw/,article3/experiments/processed/,Deterministic raw outputs regenerated and now covered by the orchestrator and artifact validation
E1M,budget_delay_matrix,reproducible_scaffold_run,article3/experiments/configs/e1_budget_delay.yaml,article3/experiments/raw/,article3/experiments/processed/,Seed and budget sweep for E1 regenerated and validated by the orchestrator
E2M,multitenant_matrix,reproducible_scaffold_run,article3/experiments/configs/e2_multitenant.yaml,article3/experiments/raw/,article3/experiments/processed/,Seed and budget sweep for E2 regenerated and validated by the orchestrator
E3,drift_response,reproducible_scaffold_run,article3/experiments/configs/e3_drift.yaml,article3/experiments/raw/E3_drift.json,article3/experiments/processed/E3_drift_summary.json,Deterministic drift-response scenario with conservative fallback and abstention when no safe candidate remains
E4,faults,reproducible_scaffold_run,article3/experiments/configs/e4_faults.yaml,article3/experiments/raw/E4_faults.json,article3/experiments/processed/E4_faults_summary.json,Deterministic fault injection over duplicate settlement event handling reservation expiry and telemetry or evidence insufficiency
E5,scalability,reproducible_scaffold_run,article3/experiments/configs/e5_scalability.yaml,article3/experiments/raw/E5_scalability.json,article3/experiments/processed/E5_scalability_summary.json,Replay scalability sweep over increasing request volumes with duration and throughput measurements
E6,azure_live,reproducible_live_run,article3/experiments/configs/e6_azure_live.yaml,article3/experiments/raw/E6_azure_live.json,article3/experiments/processed/E6_azure_live_summary.json,Live validation executed against deployed Azure OpenAI and Foundry models with synthetic prompt and traceable status usage and latency outputs
E7,ablation,reproducible_scaffold_run,article3/experiments/configs/e7_ablation.yaml,article3/experiments/raw/E7_ablation.json,article3/experiments/processed/E7_ablation_summary.json,Deterministic ablations over reservation mode and queue policy on budget-delay and multitenant scenarios
