timestamp,env,run_id,attack_id,adversary,scenario,expected,actual,blocked,status,reason,raw_log_path
2026-07-05T20:09:15Z,aks-real-sevsnp,run-1,A1,adversary,"Forged attested=true label, no evidence",BLOCKED,PENDING,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-1.csv
2026-07-05T20:09:15Z,aks-real-sevsnp,run-1,A4,adversary,Evidence TEE=SEV-SNP but policy requires TDX,BLOCKED,PENDING,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-1.csv
2026-07-05T20:09:15Z,aks-real-sevsnp,run-1,A5,adversary,Forbidden runtimeClass simulated-kata-qemu-snp on sensitive pod,BLOCKED,DENIED,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-1.csv
2026-07-05T20:09:15Z,aks-real-sevsnp,run-1,A5b,adversary,Missing required model-digest annotation,BLOCKED,DENIED,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-1.csv
2026-07-05T20:09:15Z,aks-real-sevsnp,run-1,A8,adversary,Tampered placement token signature,BLOCKED,FAIL,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-1.csv
2026-07-05T20:10:18Z,aks-real-sevsnp,run-1,A10,ADV-2/3,compromised-node-forge-evidence,BLOCKED,see-csv,yes,EXECUTED,,article1/results/raw/aks/a10/a10-rbac-results.csv
2026-07-05T20:11:33Z,aks-real-sevsnp,run-2,A1,adversary,"Forged attested=true label, no evidence",BLOCKED,PENDING,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-2.csv
2026-07-05T20:11:33Z,aks-real-sevsnp,run-2,A4,adversary,Evidence TEE=SEV-SNP but policy requires TDX,BLOCKED,PENDING,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-2.csv
2026-07-05T20:11:33Z,aks-real-sevsnp,run-2,A5,adversary,Forbidden runtimeClass simulated-kata-qemu-snp on sensitive pod,BLOCKED,DENIED,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-2.csv
2026-07-05T20:11:33Z,aks-real-sevsnp,run-2,A5b,adversary,Missing required model-digest annotation,BLOCKED,DENIED,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-2.csv
2026-07-05T20:11:33Z,aks-real-sevsnp,run-2,A8,adversary,Tampered placement token signature,BLOCKED,FAIL,yes,EXECUTED,,article1/results/raw/aks/security-runs/attacks-2.csv
